ideology,State,Name,Twitter Handle
0.7477125590000001,IN-02,Jackie Walorski,@RepWalorski
0.749758096,TN-07,Mark Green,@RepMarkGreen
0.7537110159999999,FL-12,Gus M. Bilirakis,@RepGusBilirakis
0.7554024570000001,NE-02,Don Bacon,@RepDonBacon
0.755951837,VA-01,Robert J. Wittman,@RobWittman
0.759447733,NC-08,Richard Hudson,@RepRichHudson
0.7595846409999999,OK-04,Tom Cole,@TomColeOK04
0.7597085579999999,MO-03,Blaine Luetkemeyer,@RepBlaine
0.762988784,VA-05,Denver Riggleman,@RepRiggleman
0.764564881,MD-01,Andy Harris,@RepAndyHarrisMD
0.766043087,IA-04,Steve King,
0.767142364,OH-05,Robert E. Latta,@boblatta
0.76809658,AL-01,Bradley Byrne,@RepByrne
0.76926205,FL-15,Dennis A. Ross,
0.771337183,MI-10,Paul Mitchell,@RepPaulMitchell
0.773618968,AZ-05,Andy Biggs,@RepAndyBiggsAZ
0.774149434,LA-05,Ralph Lee Abraham,@RepAbraham
0.77859536,FL-04,John H. Rutherford,@RepRutherfordFL
0.779684387,CO-05,Doug Lamborn,@RepDLamborn
0.781209907,CA-01,Doug LaMalfa,@RepLaMalfa
0.78153364,GA-12,Rick W. Allen,@RepRickAllen
0.782183871,NC-07,David Rouzer,@RepDavidRouzer
0.7872949690000001,FL-03,Ted S. Yoho,@RepTedYoho
0.791934958,TX-22,Pete Olson,@RepPeteOlson
0.795846265,IN-03,Jim Banks,@RepJimBanks
0.803131935,SC-03,Jeff Duncan,@RepJeffDuncan
0.806735836,TX-17,Bill Flores,@RepBillFlores
0.816714685,KS-02,Steven Watkins,
0.817169432,FL-08,Bill Posey,@congbillposey
0.81816388,TX-36,Brian Babin,@RepBrianBabin
0.8224772890000001,OH-07,Bob Gibbs,@RepBobGibbs
0.824014919,FL-17,W. Gregory Steube,@RepGregSteube
0.832948655,KS-01,Roger W. Marshall,
0.844024972,OH-01,Steve Chabot,@RepSteveChabot
0.845584222,WI-06,Glenn Grothman,@RepGrothman
0.854311039,TN-01,David P. Roe,@DrPhilRoe
0.869360947,GA-10,Jody B. Hice,@CongressmanHice
0.878170692,TX-14,"Randy K. Weber, Sr.",@TXRandy14
0.87888947,AZ-08,Debbie Lesko,@RepDLesko
0.884611345,NC-13,Ted Budd,@RepTedBudd
0.888512405,AZ-04,Paul A. Gosar,@RepGosar
0.891063542,WV-02,Alexander X. Mooney,@RepAlexMooney
0.893389113,MO-04,Vicky Hartzler,@RepHartzler
0.8953404420000001,FL-01,Matt Gaetz,@RepMattGaetz
0.9025201190000001,TX-06,Ron Wright,@RepRonWright
0.957306885,SC-05,Ralph Norman,@RepRalphNorman
1.0,NC-11,Mark Meadows,@RepMarkMeadows
0.0,CA Harris,Kamala D. Harris,@SenKamalaHarris
0.016944777,VT Sanders,Bernard Sanders,@SenSanders
0.026050492,NY Gillibrand,Kirsten E. Gillibrand,@gillibrandny
0.073308438,OR Merkley,Jeff Merkley,@SenJeffMerkley
0.074523854,NJ Booker,Cory A. Booker,@SenBooker
0.090611309,HI Hirono,Mazie K. Hirono,@maziehirono
0.103489426,MA Markey,Edward J. Markey,@SenMarkey
0.122242581,CT Blumenthal,Richard Blumenthal,@SenBlumenthal
0.138043936,MN Klobuchar,Amy Klobuchar,@SenAmyKlobuchar
0.15386643,IL Durbin,Richard J. Durbin,@SenatorDurbin
0.159264174,RI Reed,Jack Reed,@SenJackReed
0.162093517,OH Brown,Sherrod Brown,@SenSherrodBrown
0.17244870699999998,RI Whitehouse,Sheldon Whitehouse,@SenWhitehouse
0.17386429,OR Wyden,Ron Wyden,@RonWyden
0.17920303199999998,MN Smith,Tina Smith,@SenTinaSmith
0.20125526100000002,CT Murphy,Christopher Murphy,@SenMurphyOffice
0.20566718899999997,VT Leahy,Patrick J. Leahy,@SenatorLeahy
0.21183637,CA Feinstein,Dianne Feinstein,@SenFeinstein
0.214100092,WA Murray,Patty Murray,@PattyMurray
0.221703861,MI Stabenow,Debbie Stabenow,@SenStabenow
0.223527433,HI Schatz,Brian Schatz,@SenBrianSchatz
0.2282846,WI Baldwin,Tammy Baldwin,@SenatorBaldwin
0.243548055,NM Heinrich,Martin Heinrich,@MartinHeinrich
0.255173973,VA Kaine,Time Kaine,
0.256294098,MA Warren,Elizabeth Warren,@SenWarren
0.263632363,IL Duckworth,Tammy Duckworth,@SenDuckworth
0.275344362,MD Cardin,Benjamin L. Cardin,@SenatorCardin
